source,camp,mode,quantite,taux_total,valeur_humaine,valeur,ecart,facteur,ic_bas,ic_haut,n_tirages
agents composite,droite,concentre,marginale3,0.02,38.68821292775665,38.054939528893364,-0.6332733988632882,0.9836313607959661,37.832699619771866,38.36026615969582,10
agents composite,droite,concentre,marginale3,0.05,38.68821292775665,37.37642585551331,-1.311787072243341,0.9660933660933663,36.99857414448669,37.6425855513308,10
agents composite,droite,concentre,marginale3,0.1,38.68821292775665,35.93911104036352,-2.749101887393131,0.9289421330334748,35.33032319391635,36.45912547528517,10
agents composite,droite,concentre,marginale3,0.2,38.68821292775665,33.26360373788498,-5.424609189871674,0.8597865143060196,32.70662016620058,34.04370000687377,10
agents composite,droite,concentre,marginale3,0.3,38.68821292775665,30.723120837297813,-7.965092090458839,0.7941209611999337,30.542340627973356,31.070409134157945,10
agents composite,droite,uniforme,polarisation,0.02,0.4504530967379146,0.45493197213700415,0.0044788753990895325,1.009943044972994,0.4526405702617365,0.4564911425636161,10
agents composite,droite,uniforme,polarisation,0.05,0.4504530967379146,0.4593067990421161,0.00885370230420146,1.0196551036463466,0.4550059136159148,0.46177557524615015,10
agents composite,droite,uniforme,polarisation,0.1,0.4504530967379146,0.46868636234275546,0.018233265604840843,1.0404776118465657,0.46587510761488865,0.47092700528082493,10
agents composite,droite,uniforme,polarisation,0.2,0.4504530967379146,0.48921635487562154,0.038763258137706924,1.0860539275196956,0.484876335280086,0.49144062883424383,10
agents composite,droite,uniforme,polarisation,0.3,0.4504530967379146,0.5086709275409614,0.05821783080304682,1.1292428251124211,0.5023242210325393,0.5156978481208946,10
agents composite,droite,uniforme,marginale1,0.02,33.65019011406844,34.106463878327,0.4562737642585617,1.0135593220338985,33.840304182509506,34.48431558935361,10
agents composite,droite,uniforme,marginale1,0.05,33.65019011406844,34.48669201520912,0.8365019011406858,1.024858757062147,34.05180608365019,34.84315589353612,10
agents composite,droite,uniforme,marginale1,0.1,33.65019011406844,35.32319391634981,1.6730038022813716,1.0497175141242938,34.24429657794677,36.25712927756654,10
agents composite,droite,uniforme,marginale1,0.2,33.65019011406844,37.30038022813689,3.650190114068451,1.1084745762711867,36.44961977186312,38.09648288973384,10
agents composite,droite,uniforme,marginale1,0.3,33.65019011406844,39.80988593155894,6.159695817490501,1.1830508474576273,38.79515209125475,41.0527566539924,10
agents composite,droite,uniforme,marginale2,0.02,52.75665399239544,52.557034220532316,-0.19961977186312652,0.996216216216216,52.37642585551331,52.903992395437264,10
agents composite,droite,uniforme,marginale2,0.05,52.75665399239544,52.30038022813689,-0.4562737642585546,0.9913513513513513,51.77519011406844,52.64020912547528,10
agents composite,droite,uniforme,marginale2,0.1,52.75665399239544,52.062737642585546,-0.6939163498098964,0.9868468468468466,51.247623574144484,52.618821292775664,10
agents composite,droite,uniforme,marginale2,0.2,52.75665399239544,51.21673003802281,-1.5399239543726324,0.9708108108108107,50.32794676806083,51.97480988593156,10
agents composite,droite,uniforme,marginale2,0.3,52.75665399239544,50.20912547528517,-2.5475285171102726,0.9517117117117115,49.56749049429658,50.865019011406844,10
agents composite,droite,uniforme,marginale3,0.02,38.68821292775665,38.469581749049425,-0.21863117870722704,0.9943488943488943,38.139258555133075,38.814163498098864,10
agents composite,droite,uniforme,marginale3,0.05,38.68821292775665,37.598602453574905,-1.0896104741817467,0.9718361125592335,36.96768060836502,38.17015209125475,10
agents composite,droite,uniforme,marginale3,0.1,38.68821292775665,36.80003292175115,-1.8881800060054985,0.9511949541445262,35.79610266159696,37.747148288973385,10
agents composite,droite,uniforme,marginale3,0.2,38.68821292775665,35.1586756049824,-3.529537322774253,0.908769698684066,34.336977186311785,36.3212927756654,10
agents composite,droite,uniforme,marginale3,0.3,38.68821292775665,32.63609164547254,-6.052121282284112,0.8435667914259734,31.51343053691397,33.96625475285172,10
agents demographiques (v6),droite,concentre,polarisation,0.02,0.4504530967379146,0.4330508860853904,-0.01740221065252423,0.9613673193090527,0.4287727671685715,0.43639734374342115,10
agents demographiques (v6),droite,concentre,polarisation,0.05,0.4504530967379146,0.4069756025311991,-0.04347749420671554,0.9034805298896371,0.4012067891528205,0.41360875751233056,10
agents demographiques (v6),droite,concentre,polarisation,0.1,0.4504530967379146,0.36658276678974044,-0.08387032994817417,0.813808961342379,0.35606821102416747,0.3736296579331526,10
agents demographiques (v6),droite,concentre,polarisation,0.2,0.4504530967379146,0.28190229512215026,-0.16855080161576436,0.6258194186334307,0.2743455518028173,0.29035551059110254,10
agents demographiques (v6),droite,concentre,polarisation,0.3,0.4504530967379146,0.18717769854452485,-0.26327539819338974,0.41553204961854157,0.18272403937643109,0.18957373733113278,10
agents demographiques (v6),droite,concentre,marginale1,0.02,33.65019011406844,34.74334600760456,1.093155893536121,1.0324858757062148,34.50570342205323,35.05465779467681,10
agents demographiques (v6),droite,concentre,marginale1,0.05,33.65019011406844,36.16920152091255,2.5190114068441147,1.074858757062147,35.61549429657794,36.76568441064639,10
